created_at,id,text,screen_name,followers,friends,rt,fav
Mon Nov 23 19:10:40 +0000 2015,668869289974239232,Have you heard? Quicken 2016 for Mac and Windows is here! Check it out &amp; #CountOnQuicken https://t.co/hbJcVVwHBY https://t.co/ihoWUjQELD,Quicken,4163,308,0,2
Mon Nov 23 02:41:05 +0000 2015,668620255137132544,@skyalin They also have a support community here: https://t.co/AnGPp3kOwM,Quicken,4163,308,0,0
Mon Nov 23 02:29:47 +0000 2015,668617411747184640,@skyalin https://t.co/dj0ZdM7NA1,Quicken,4163,308,0,0
Mon Nov 23 02:29:47 +0000 2015,668617410224623617,@skyalin There is no Quicken AU support number as Quicken AU was purchased by Reckon in 2013. If you would like you can try their support:,Quicken,4163,308,0,0
Mon Nov 23 02:18:44 +0000 2015,668614630575505409,"@skyalin for products no longer supported. You can try phone support at  888-311-7276 (Mon-Fri, 5am-5pm Pacific)",Quicken,4163,308,0,0
Mon Nov 23 02:18:44 +0000 2015,668614628650299392,"@skyalin registration servers for Quicken are sunset after 3 years, which means there is no way to retrieve or produce activation codes",Quicken,4163,308,0,0
Sat Nov 21 23:29:49 +0000 2015,668209732138602496,"@skyalin Press and hold the Ctrl + Shift keys, click Tools, then One Step Update.",Quicken,4163,308,0,0
Sat Nov 21 23:29:49 +0000 2015,668209730452492288,"@skyalin I don't know if this will work for your old version, but you can try the following to bypass registration:",Quicken,4163,308,0,0
Sat Nov 21 23:29:48 +0000 2015,668209728577630208,@skyalin Your older version is no longer supported and product registration is no longer available.,Quicken,4163,308,0,0
Sat Nov 21 23:04:33 +0000 2015,668203371447193600,@skyalin Please see: https://t.co/PQj50u5OgB,Quicken,4163,308,0,0
Fri Nov 20 23:30:35 +0000 2015,667847535445196800,"@CarlEHaslam Call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific) our team may be able to help you exchange your version or offer a discount.",Quicken,4163,308,0,0
Fri Nov 20 19:18:26 +0000 2015,667784082466603008,"@losmarin - Sadly, it doesn''t look like annual budgeting is included. See these links: https://t.co/SAsz4vjpwl, and https://t.co/C11YZAJkWW",Quicken,4163,308,0,0
Fri Nov 20 19:11:05 +0000 2015,667782233277599744,@heyart - Consider asking this question in the Quicken Live Community: https://t.co/qVUhjJ752j. Lots of experienced users can help.,Quicken,4163,308,0,1
Fri Nov 20 19:11:05 +0000 2015,667782231486672897,@txaggieguy - Consider asking your question in the Quicken Live Community: https://t.co/qVUhjJ752j. Lots of experienced users can help.,Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
Fri Nov 20 18:05:53 +0000 2015,667765825516908544,"@rwbowdidge Please reach out to our team with your report/troubleshooting, you can call us at 888-311-7276 (Mon-Fri, 5am-5pm Pacific).",Quicken,4163,308,0,0
